FAIL|dune|duneanalytics/dune-mcp
OK|bybit-skill|{"stars":23,"updated":"2026-03-29T08:02:17Z"}
OK|solana-dev-skill|{"stars":412,"updated":"2026-03-28T10:37:56Z"}
OK|helius-skills|{"stars":6,"updated":"2026-03-28T14:03:58Z"}
OK|emblem-agent-wallet|{"stars":6,"updated":"2026-03-08T05:17:07Z"}
OK|nunchi-yex-trader|{"stars":503,"updated":"2026-03-29T02:07:50Z"}
OK|agipro-trading|{"stars":1,"updated":"2026-03-26T14:34:59Z"}
OK|vectorbt-backtesting|{"stars":116,"updated":"2026-03-29T19:39:11Z"}
OK|options-strategy-advisor|{"stars":63,"updated":"2026-03-29T15:31:32Z"}
OK|alpaca-trading|{"stars":8,"updated":"2026-03-18T03:27:10Z"}
OK|polyclaw|{"stars":277,"updated":"2026-03-29T00:55:37Z"}
OK|bankrbot|{"stars":69,"updated":"2026-03-28T05:21:57Z"}
OK|dpro-hyperliquid|{"stars":77,"updated":"2026-03-14T14:00:58Z"}
OK|hyper-alpha-arena|{"stars":873,"updated":"2026-03-29T15:15:46Z"}
OK|trump-code|{"stars":670,"updated":"2026-03-29T17:53:46Z"}
OK|claude-financial-services|{"stars":7073,"updated":"2026-03-29T22:13:06Z"}
OK|trailofbits-skills|{"stars":4088,"updated":"2026-03-29T22:18:35Z"}
OK|owasp-security|{"stars":54,"updated":"2026-03-29T16:41:17Z"}
OK|transilience-tools|{"stars":108,"updated":"2026-03-29T17:27:46Z"}
OK|parry|{"stars":27,"updated":"2026-03-29T19:27:12Z"}
OK|dippy|{"stars":160,"updated":"2026-03-29T18:02:50Z"}
OK|agnix|{"stars":124,"updated":"2026-03-29T21:17:30Z"}
OK|plamen|{"stars":184,"updated":"2026-03-29T18:05:34Z"}
OK|superclaude|{"stars":22026,"updated":"2026-03-29T21:27:41Z"}
OK|vibehq-hub|{"stars":162,"updated":"2026-03-29T14:08:33Z"}
OK|container-use|{"stars":3687,"updated":"2026-03-29T15:32:31Z"}
OK|claude-squad|{"stars":6708,"updated":"2026-03-29T22:07:36Z"}
OK|ccpm|{"stars":7828,"updated":"2026-03-29T20:09:10Z"}
OK|auto-claude|{"stars":13626,"updated":"2026-03-29T21:57:09Z"}
OK|ruflo|{"stars":28308,"updated":"2026-03-29T22:21:15Z"}
OK|contextkit|{"stars":162,"updated":"2026-03-23T23:12:20Z"}
OK|tsk|{"stars":155,"updated":"2026-03-26T08:08:46Z"}
OK|tavily-search|{"stars":160,"updated":"2026-03-29T22:05:38Z"}
OK|claude-command-suite|{"stars":1093,"updated":"2026-03-28T20:27:35Z"}
OK|production-commands|{"stars":2228,"updated":"2026-03-29T16:49:26Z"}
OK|riper-workflow|{"stars":74,"updated":"2026-03-29T13:52:02Z"}
OK|ab-method|{"stars":156,"updated":"2026-03-29T18:43:56Z"}
OK|claudekit|{"stars":641,"updated":"2026-03-29T21:36:22Z"}
OK|understand-anything|{"stars":6982,"updated":"2026-03-29T21:40:43Z"}
OK|skill-factory|{"stars":647,"updated":"2026-03-29T20:42:53Z"}
OK|skill-seekers|{"stars":11449,"updated":"2026-03-29T22:22:09Z"}
OK|compound-engineering|{"stars":11633,"updated":"2026-03-29T22:18:22Z"}
OK|context7|{"stars":51006,"updated":"2026-03-29T22:20:55Z"}
OK|github-mcp-server|{"stars":28375,"updated":"2026-03-29T22:10:10Z"}
OK|sentry-mcp|{"stars":612,"updated":"2026-03-28T15:28:05Z"}
OK|claude-code-mcp|{"stars":1205,"updated":"2026-03-29T10:04:59Z"}
OK|lyra-tool-discovery|{"stars":21,"updated":"2026-03-27T02:09:07Z"}
OK|ccusage|{"stars":12098,"updated":"2026-03-29T22:07:43Z"}
OK|ccflare|{"stars":927,"updated":"2026-03-29T14:09:53Z"}
OK|claudex|{"stars":67,"updated":"2026-03-28T13:15:01Z"}
OK|vercel-react-native|{"stars":24062,"updated":"2026-03-29T22:00:18Z"}
OK|frontend-design-toolkit|{"stars":41,"updated":"2026-03-29T21:06:32Z"}
OK|claude-code-ui-agents|{"stars":473,"updated":"2026-03-29T19:00:11Z"}
OK|react-native-expo-agent|{"stars":98,"updated":"2026-03-29T07:59:17Z"}
OK|stripe-skills|{"stars":1413,"updated":"2026-03-29T19:15:45Z"}
OK|cloudflare-skills|{"stars":741,"updated":"2026-03-29T22:16:34Z"}
OK|netlify-skills|{"stars":10,"updated":"2026-03-22T09:14:20Z"}
OK|supabase-skills|{"stars":1731,"updated":"2026-03-29T21:53:34Z"}
OK|hashicorp-skills|{"stars":496,"updated":"2026-03-29T21:18:23Z"}
OK|pulumi-skills|{"stars":31,"updated":"2026-03-29T20:16:13Z"}
OK|neon-skills|{"stars":43,"updated":"2026-03-26T19:52:50Z"}
